detailId;problem;description
1;Необходима уборка;Плохо почищена улица.Также разбросан мусор прямо на дороге
2;Необходима поливка водой;Требуется поливка водой. Из-за высокой температуры асфальт начал прилипать к колесам авто
3;Снег не убраг;Плохо почищена улица
4;Щебенка на дороге;Большое количество щебенки рассыпано на дороге
5;После аварии на дороге большое пятно масла;Необходимо убрать последствия аварии (разлитое масло и антифриз)
6;Необходима посыпка солью;Гололед на данном участке. Тербуется посыпка солью.
7;Уборка снега произведена не качественно;Не возможно проехать по данному участку
8;Необходима уборка дороги;Не почищена дорога; а также необходимо поливка водой; так как есть следы нефтепродуктов на асфальте
9;На вьезде на стройплащадку разлито огромная кодличество бетона;На вьезде на стройплащадку разлито огромная кодличество бетона.
10;Песок на дороге;Большое количество песка высыпано на дороге